habima;kiiruga haarama, ahnitsema;Võru: habiq rõiva ärq, lät's'ivä järve viirde ja syss sääl nak's'i mõskma, mõs's'im'i sääl puhtast är
hinkuma;kurjalt v. kiljuvalt hirnuma (ja tagant üles lööma);Lääne: südaüösi ühekorra ku obused akand inkuma
hämmämä;kastma, märjaks tegema;Setu: ku kanga koet'i ärr, syss ku läm'm'i päiv tul'l', syss tõmmat'i niidü pääle lak'ja syss pääväga päet' väega valgõst nu rõivaq
ihkuma;hõiskama, karjuma;Saarte: mees läks jälle armulauale kiriku. ihkus kiriku ukse vahel, ta oli nii purjus
jürama;närima;Võru: naat'i siss noit kontõ jürämä
kargutama;ajama;Saarte: ning siis aksid agijääl sedasi sönna kargutama ougisid
kirgma;kirema;Setu: sis nak's'iva lehmäq müügmä, hobõsõ hirnma, lambaq määgmä, kikka kir'gma, pin'iq haukma, kas's'iq n'äügmä
kirjutama;välja õmblema, tikkima, kirjama;Saarte: meije tieme jälle kirju nendele ruä piäle ning ruäd kirjuttassõ ää
kukkama;lükkama;Võru: kuurma kukat'i sinnäq rihe külele maaha
kurtma;seisma;Mulgi: ma kurda nüid õige vait
kuukma;jooma;Kesk: Mad'li ema ütles, et kes käs'ib sind viina kuukida, voata pialt
kütsama;küpsetama, küpsema;Tartu: küidsä mullõ küidsäq liha jaq panõq muna pääle
